title,sentence,score
Caveat emptor!,"If this game is offered as freeware, don't waste time or space downloading it. Herky jerky movement, detatched interaction:i.e., combatant & foes don't actually make contact, low quality graphics and illogical control functions combine to make this the worst RPG I have ever played. Starting with Well of Souls & Dink Smallwood, through the series of Diablo, Dungeon Seige, Neverwinter Nights, Baldar's Gate, Arcanum, Sacred, Divine Divinity and most recently Fable, I have never experienced anything even remotely as disappointing as this. If there was a rating lower than 1 star this game would deserve it!",0
Funny,Funny and I had not heard of many of the skits. Shows Andy's human side a lot and is refreshing.,1
Entertaining but very weird,"Phil Jackson groupie and sometime ESPN.com writer Charley Rosen turns in a fun, but sometimes off-putting fictionalized account of minor league basketball life. He develops the characters well and puts forth a decent plot. However, Rosen's personal oddities drag the book down. Rosen is absolutely obsessed with bodily functions and he repeatedly goes into way too much detail about farting, urination, defacation, etc. At times, the book reads like an immature third grader's delight. My roommates and I all read it and the general consensus was that the book was enjoyable, but Charley Rosen is a really weird guy.",0
Up-dated version needed--,Things have changed - even on islands--in past 19 yrs. A lot of the information is seriously out-dated.,0
my daughter loved it,"My daughter had to have one of these after seeing her friend's. She loves the interface and additional space over her old iRiver U10, and despite the fact I knew we ordered it used, the product was in such great condition it wasn't possible to tell the difference looking at it. Saved lots of $$, happy daughter, and very fast shipping.",1
give me a break,"I enjoyed ""Temple"" but this book was just awful. Reilly's books are full of amazing, improbable but fun action scenes. You spend a few hours suspending common sense but having a good time. In this book however there were two elements that were just so bad that they ruined the rest of the adventure. 1) The career Marine captain has a romance with an NCO who reports to him. and 2)There was a bear family that played a key role in the story - mama bear, baby bear and papa bear. Right. The only place you will fine a papa bear in a bear family is in Goldylocks.Read ""Temple"" instead.",0
"Could not put the book, er, Kindle down","After seeing the Jack Reacher movie over Christmas, I ordered up the first book in Lee Child' series and finished it in one day. Couldn't put it down. I enjoy action/adventure movies and books and looking forward to reading the rest of the series. Rumor has it that Tom Cruises' production company has purchased the licensing rights for all of the Jack Reacher series. Birth of the American version of James Bond?",1
Major disappointment.,"It seems as if Ms. Howard wrote down random ideas and put them into this book. She introduced too many storylines, without following through. And the ending was very weak. I agree with another reader ""when she's good, she's very, very good"" This is not an example of good, however. Hopefully the next one will be better.",0
Not Her Best...,"After having the pleasure of reading 2 of Ms. MacAlister's previous books I have to say this was not one of her better offerings. I'll leave the story descriptions to other reviewers.Ms. MacAlister's typically witty character dialogue was not evident here and, while the story had potential, it just didn't have the sparkle and dynamics of 'The Corset Diaries' and 'Men in Kilts.' This does not sway me from her other offerings, though. Ms. MacAlister is just too fun to read.",0
You be the judge...,"I bought this for Christmas and during the first movie i played it froze up in the middle of it. Eventually i got it to play and thought it was just the disc. A week or so later while watching another movie it froze up during that movie as well. Moral of the story, i have been able to get this to play a complete movie without stopping but it still freezes up at random times and will not work. I wouldn't buy this player. There are way too many others to chose from. You'd be better off giving the money away, than throwing it away.",0
"5000, staples in one","This stapler replaced the same one that we purchased 20 years ago, and it is used constantly every day. We love it",1
Simply Awesome!!!,"Before I start...take those last 2 reviews with a HUGE grain of salt. PCBuilder runs across the street to a neighbor to type up a review on this product? Sounds fishy to me. Sounds like a Microsoft zealot trying to give a nasty plug to some much needed competition.I run a system I built myself. Has a 3.0 ghz P4 processor, 1 gig of pc3200 ram, geforce FX5500 video card, onboard lan, soundblaster live audio card, maxtor 100 gig ata/133 hard drive, sony dvd-r, sony cd-r...that's the basics.Out of the box it installed perfectly and ran perfectly the first time. And it is STILL running perfectly even after my 2 children got through hammering it.Suse has put out what is, in my opinion, the best distro out there.",1
Best kb/mouse combo ever,I've had two sets of these for years now and I love them! One got a bunch of booze dumped in it at a party last week so I took it outside and hosed it real good. Let it dry for a few days and it's back to working great again!,1
"Thought provoking, but something was missing.","LOST FUTURES takes on the fascinating concept of alternate realities: the theory that at the point of any given choice, reality splits and continues on for each outcome. In this book, a young woman becomes obsessed with the possibility of crossing over to a better life, where her brother did not die, where she made something more of her life. Thankfully the absurdity of quantum theory is abandoned early on, but after a series of several ""awakenings"", one begins to look for some kind of direction, and there isn't any. There is an ending of sorts, but it comes suddenly. A mild disappointment, but still worth reading.",1
Not true hardcore!,"This album sounds like Morbid Angel trying to do hardcore. There's not an ounce of punk rock in it, hardcore stands for hardcore punk and this isn't it. Even old school hardcore bands that utilized a hip hop or an metalish hardcore sound never sounded anything close to this. I wish people would stop trying to do pure metal and call it hardcore. For all these new school supposed hardcore bands just because you slam hardcore style, have a short-trendy haircut with dyed black hair and some african ear piercings doesn't make you a hardcore band.",0
Future history of the World Trade authority 1999-2000,"Good short stories based around great graphic artwork great collectors item, if your into Chris Foss style Artwork.",1
lock,This is an excellent buy. We needed something to lock our generator. This is the product. No way can they cut this. I was skeptical until I saw it. Great buy and a great invention.,1
Wow! It's the end of the world,"In the end, right will be seen as wrong and wrong will be celebrated as right. This show proves that. Sickening.",0
Good Ink,Only reason i didn't give this product a five star was because I could have bought it at a traditional store for about the same price. Product arrived quick and works as expected.,1
great price for this great mixer,"Had the this large mixer previously as a refurbished model which lasted for years. But when it did die and I needed to replace it, this was the best price I could find, which is fantastic for this size model. Kitchen Aid makes the best mixers...would not get any other kind.",1
Star Wars Episode II,"The system does not allow the option of selecting no star, so I am forced to give one to this HD video. So far the more parts there are of a movie the worse it gets, and unfortunately this is also true for the Star Wars saga.Episode two even more then Episode one seriously suffers from lack of story. The attempt to give the multiple action CGI sequences credibility through the construction of an incomplete political back story fails entirely. The reasons for the featured clone war are barely apparent, and the lack of a real antagonist in both new episodes does not make it easier to detect a story line. Maybe part three will make greater sense, once Anakin turns into Lord Vader, even though there is little hope.",0
Perfect for nightime listening,"I use the Sangean radio for info and ""white noise"" when I go to sleep. The presets are wonderful, reception is beeter than analog pocket radios, and not having a speaker reduces the size. The battery saver (90 minute auto shut-off) feature is perfect. I use just one earpiece and drift off to sleep on the other ear.",1
Whoa,"I agree with the poster that said he could do without the animal cruelty, however, the infant cruelty is by far the most horrific. What the main character did to survive was really awful as well. This is definitely a book that will make you put that extra chain on your hotel door and draw the curtains completely when you go to bed. I don't know what's worse, that snuff films and all the human filth surrounding it actually exists, or that there is a readers's market for it as a form of entertainment.",0
the very best of Roy Orbison,Kind of brings back the days when he was popular. Still good listening. Many younger people have not heard these.,1
Helpful information,"This book is informative and would make a great resource for any family eager to improve their communication and family involvement. Gets a bit wordy after awhile and there are lots of testimonials touting Covey's other books, but overall this was a well-written & informative read.",1
irrelevant,"A proper title for this book is 'how to make your 70's car handle'. The book is very out of date and was very generic. There is some information that relates to the new cars, my advise is save your money.",0
Mixed,My 17 year old daughter liked it but my 66 year old mother would have given it only 2 stars. She thought it was boring,0
Paperback binding won't last long with your toddler,I wasn't paying attention to the binding type when I ordered this book. I was surprised when a >paperback< lift the flap book arrived. I returned it immediately as my toddler will destroy this book within a week.,0
Not good for emergencies,"I bought one a few years ago, stuck in my glove box for emergencies.Transferring stuff to my new car the other day, I decided to test it.After cranking for a minute, it lasted a few seconds and it then it would not work no matter how much I cranked it. Evidently, from other reviews and what I now know about batteries, I should have periodically used/""exercised"" it and recharged to give internal battery a longer life.If that is the case, the directions did not give that advice.The package also states ""no batteries"" which is misleading since that is why I bought it for emergency only purpose thinking it would come in handy. Unfortunately, it seems these types of lights are not good to rely on for that purpose.",0
Do not recommend.,"""Chef'n Grapefruiter Citrus Sectioning Tool"" I do not recommend this product. I watched every online video I could find to see if I was using it incorrectly, but nope. It is very cheaply made, the metal cutting part keeps bending and getting stuck, you have to pull the handles apart to get the fruit to come out. It mostly just mashes the grapefruit. Maybe it would work with a different sized grapefruit, but none of the ones I tried it on. I ordered a grapefruit knife and grapefruit spoons instead.",0
New Boy Band Ready To Be Discovered in America!,"Basically this CD is what you would call part of the Boy Band Pop Rock era. Touché is like Backstreet Boys, N Sync, 98 Degrees, LFO, and those other pop bands, but personally I think they're a lot better. They're know well in Germany, and I hope soon they'll be discovered here in America! This is a MUST buy if you love those other boy bands!",1
The years of love,"Laura is teaching school and it has been really hard for her. The only thing she looks forward to is when Almonzo Wilder comes every Friday to take her home to her family. They are courting, and it is a happy time for Laura. Mary also comes home for the first time, and everyone is very happy to see her. This is a time for change in Laura's life.",1
The Spiritual Bomb!!,"This CD is a perfect addition to my Urban gospel collection which includes artists such as Tonex, Deitrick Haddon (her husband), Mary Mary, Montrel Darret, and many many more wonderful spirit-filled artists that I don't have room to mention. Damita Haddon has such a blessed and anointed voice she could've sung this whole album without music except that the beats are so TIGHT!!! There are a wide variety of sounds on this album from slow R&B to a funky rock joint ( and I don't even like rock). It is obvious this Detroit area resident has a fine career ahead of her. It's just one of those CD's that you put in the player, and play all the way through. It is sure to be a blessing to those looking for a R&B sound filled with the WORD instead of trash. Pick up this CD and be blessed!!!!",1
Cheaper at HEB,I had originally bought this pan because I thought I would not b able to find in my local store. But I did and it was cheaper. The pan does the job but whatever.,0
Really did his homework,"Los Angeles--more than any other town--is built on rumors so thick on the ground that they've largely calcified beyond urban legend and in to accepted fact. However, the author of this book has--to his credit--gone out of his way to take each of these rumors and investigated them as best he could, given that many of these events took place decades ago and especially as they took place in an L.A. ruled by movie tycoons with a lot at stake and great incentive to cover up the dark and nasties, and minions expert at doing just that. Nevertheless, this book is an interesting and revealing look into the truth behind the gossip that built this city.",1
Hard to describe ... but amazing,Saw these guys at the Viper Room tonight. They were impressively noisy.,1
Jack's Back,"Finally there's a greatest hits but notably it's still missing some gems from his ""World in Motion"" album. Unforgettable songs like ""Enough of the Night"" & ""Chasing you into the Night"" are ommitted. The haunting ""My Personal Revenge"" should be included so the whole world will know of Browne's dedication of people's oppression when its put into music.Overall, a not too bad compilation.""My personal revenge will be the rightOf our children in the schools and in the gardensMy personal revenge will be to give youThis song which has flourished without panicMy personal revenge will be to show youThe kindness in the eyes of my peopleWho have always fought relentlessly in battleAnd been generous and firm in victory""",1
"Pretty good book, offered some new advice","I have been overweight since age 6, and currently wear 16-20 at age 21 (depending on manufacturers sometimes I can get into a 14) Before reading this book, I was completely obsessed with weight and losing it to get a man. I have been up and down the yo-yo the past 2 years, losing 80 pounds, gaining 50 of those back, losing 20 of those, gaining 30, losing 10...you get the idea. I am at a lower weight today because I finally embraced the idea that emotions, not food or weight is the problem.Katie's book showed me what B.S. it is to use weight as an excuse for not having a man. And how having one is not gonna make life perfect. I think this is a wonderful book and wish it had been around when I was younger because it would've spared me a lot of pain. I recommend it and only give it 4 stars because I felt it slighted women who are above size 20, which I was once a 28 and only recently stopped needing 22s and 24s.",1
JimBob,"Bought one of these, and it worked great for a month or less. Bulb went out, so I ordered a few replacement lamps to get a quantity discount. The unit stopped working a week or two after the new lamp was installed. I called, and they had me return the unit to them for repair or replacement. The new one arrived after a long wait, and also failed within weeks. Now, I'm stuck with the replacement lamps and a non-functioning unit. I'll use the lamps in a modified unit from a different manufacturer. Frankly, I don't understand why the make these lousy units year after year, and never bother to make them worth buying?",0
Excellent music (if you can hear it),"The CD has some extremely good renditions of The Messiah. I have to admit that the performance was indeed some of the best I have heard. Unfortunately it was recorded poorly. So poorly that my CD player had to be turned up to full to hear it and then I had the static to contend with. As good as an album as it is, it was lost due to to bad recording techniques. Take my advice and spend a few extra bucks on another Handel CD.",0
I miss the Navajo-inspired stories,"I'm weighing in against the tide here. I've been a Joe Leaphorn/Jim Chee fan since the beginning, but this story left me a little flat.What made me such a Hillerman fan were the rich stories of a culture walking a very precarious tightrope between past and present. This story about a swindle-gone-bad between two white men who happened to be interested in some Indian land didn't have the same feel to it as other Hillerman classics like SACRED CLOWNS or COYOTE WAITS.In the past, Hillerman taught his readers important lessons about Indian culture. This book just rehashes old territory, and it's not even a very good trip.Joe Leaphorn, Jim Chee and Officer Bernadette Manuelito (under utilized until now) deserve better than this.",0
Cats won't even go inside it.,"In theory a great idea. I thought my girls would like the privacy of the booda dome, but they won't even go inside it. May be because one small bump (from inside or out) and the dome comes off. The dome is really hard to put on to the base. Doesn't quite seem to fit. And though the box in total is really large and takes up a huge amount of room in my house, the area for the cat to use, is quite small and cramped.",0
Light but pleasant,"This is a fun postmodern version of the Cinderella story, featuring great tongue-in-cheek humor and a bravura performance by the charming Estelle Winwood as the batty Mrs. Toquet. But Michael Wilding and Leslie Caron have very little chemistry, and the dance sequences are lackluster.",0
Carmen triumphant,"This is a beautiful movie exploring the courage of a woman surrounded by confused, helpless, or cowardly men. Carmela during the Spanish Civil War faces down the fascists and turns the tables on them in a play they thought would ridicule their victims, but which Carmela forces to the logical exposition of the basic cowardice of fascists (from Francisco Franco and Benito Mussolini to George W. Bush and Ariel Sharon), whose courage consists in the murder of unarmed opponents, like the heroic actress.",1
First 3 minutes are not in 3D!,"I purchased Space Station 3D this morning and I'm hoping somebody from Warner Video sees this.There is a problem with the 3D formatting of this film. The film is supposed to be 3d from start to finish, but on this disc, the film is not stereo 3D until 3:13 into the film. Both the ""left-eye"" and ""right-eye"" images are the same up to that point.Since the film goes from 2D to 3D between shots, this is probably an issue with how the left and right video tracks were prepped for 3D encoding, since my player registers a true 3D video track from the start. I'm very familiar with this film and with 3D post-production and there is a major QC issue with this title.-Mike",0
Ressurrection,"Product is scratched, will be returning it just haven`t had time to. It arrived before the due date which was good.",0
From Your Typical Mario Game Lover,"I didn't like this game very much. Although it was a pretty good game for the time period it was made, it still didn't impress me. Maybe it is because I perfer ANY Mario game over a lot of other games.",0
IS THIS A SAILORMOON BOOK...OR A COMMERCIAL BOOK?,"I have absolutely no problem with the basic storyline. It's written fine if they're trying to reflect the badly dubbed DiC series. However, in various points of the book, Mixx advertises...FOR THEMSELVES! At one part, Serena(Who SHOULD be called Usagi) is reading a Mixx magazine called Smile Magazine, and says, ""Oh Kemmy, you are so rockin'! I wish I could be a sushi delivery girl!"" Kemmy is Mixx's character from SushiGirl. Then, when Serena is recommending MANGA(Japanese Comics)to Amy(Ami) she says,""Sailor V is a perfect start.""(Sailor V being Mixx's eqivalent of Sailor Moon.)Serena also states ""I also think that Magic Knight Rayearth 1-3 and the first SushiGirl should do it!"" In case you didn't know, Mixx has the rights to all of these. So in conclusion, another piece spoiled by Mixx's shameless self-promotion.",0
Potentially good reference needs more work,"Despite nice illustrations and photos, this work suffers most from poor organization. Instead of going through each of the building blocks f Himalayan statuary and iconography, then putting them together (i.e., mudras, vehicles, hand objects, etc.), it is organized (not right word) in a peculiar fashion that resists its use as a reference book. Often it goes into great detail about trivial things, then omits more important things. For example, it clutters the landscape with discussions about different sects - this is really premature. If you read German, my recommendation is buying Wolfgang Schumann's masterful ""Buddhistische Bilderwelt"" [The world of Buddhist Iconography], which you can probably buy from www.amazon.de.",0
Fun game,"Bought this game for a 7 yr old, she thinks its fun. You definately have to know how to read and understand what 'vowels' are. The object is to be the quickest to set your card down so to play the game accurately, the child has to understand the questions.Our game did not come with instructions so I had to look them up online, also the colors on the game cards do not match the reference map they give you (red is pink and the brown is different)overall, fun game though and it makes the child learn about the States.",1
A story of a wonderful painting,Maybe it missed the mark as an interpretation of an old master. But on it's own it was a pretty good story of the moral and financial history of the period.,1
Disappointed,"Maybe I'm missing something here! I can't help but compare this tale to another rodent tale,that of Despereaux, and find Walter rather pale. I find the vocabulary thrown in randomly and the references to classic literature forced. I will agree with the question...""who is the audience""? I don't necessarily find Walter or Miss Pomeroy's character very endearing (for adult or child) nor defined. I thought the best part of the story was the begining of their communication, but then it became uninteresting (at least in my opinion). Maybe it's not fair to compare these two furry tales, but I found it hard to overlook the similarities, and felt as if Walter was too much of a ""wannabe"" Despereaux, and alas reader, he is not. Ms. Diamond's illustrations are lovely and soft, she get's 2 of my 3 stars.",0
BUYER BEWARE,In order to use the programs in this book you will need to obtain a developer key from SAP. In order to get a developer key you *must* have a SAP customer number ... if you do not already have a customer number buying this book will not get you one and so there is no way to work through the exercises illustrated.,0
Fun!,"My 7 year old daughter loves scratch magic - these were extra fun since the light shines through, making a neat effect. Wish the kit came with more than four sheets.",1
Introduction for Beginners,"Not what I expected from the previous reviews, it delivers few good new ideas and for someone who is used to extract the useful information from books, I found little to write out, I summarized the whole 160 pages into less than 2 !. Most of the topics are general recommendations with no techniques to use. Definetly not recommendable for experienced Speakers. The kind of litterature used reminds me of women talk where one simple idea is stretched into a half hour conversation ! There's no Chapters in the book and the Information is not structured, you could open any page and start reading !",0
"Simple Elegance Anytime, Anywhere.","I've been eying these glasses for a long time, but couldn't justify the purchase until recently. I had a set of heavy crystal Mikasa wine glasses that were quite handsome, but as I said, heavy. Recently diagnosed with Arthritis in the thumbs and wrist, I used that excuse to purchase these beauties. Gave the Mikasas to younger friends and we're both happy. These glasses are exactly what I've wanted - light enough, but sturdy enough for daily use. And they do get used - daily!They were packed carefully and the shipment arrived on time and in perfect condition. No complaints, here.",1
Awesome for any St. MetallicA fan,All I have to say is that this is an AWESOME c.d. and the dvd kicks major MetallicA ass. Every song on this c.d. will slam you into the floor and grind your teeth to dust. The first time I popped this c.d. into my player it reminded me of the way MetallicA sounded in Master and the earlier c.d.'s. In closing I am not saying you have to by this c.d. if you don't want to. I am just saying that I am a die hard MetallicA fan and have been forever. This is one of the best c.d.'s MetallicA has ever put out.,1
Great book about an average 7th grader!,This was a great book! I could relate to what she does because I just started 7th grade too. I love the series!,1
Best Book Ever,"this was the best book i've ever read. I don't like reading books as much, but this one really caught my attention.",1
Behind enemy lines~DISSAPOINTING~,"This movie really [stunk] big, lots of plot holes and some very not real action very unreal. Dont see this movie unless you want alot of action. The action was pretty good. Just fake. Owen wilson was very disapointing and hackman just didnt seem as good, didnt put in much effort~",0
This book is cool I learned a lot.,I am a young teen. My mom had me read some of this book and I really learned a lot for myself. So it isn't just mom says I should eat...I have made my own dicision about eating well. I never thought I would say this but I actually like organic food better than regular food. I eat more fruit than I used to because it tastes better. We even make our own bread. Thank you Kevin for writing this book it was very educational.,1
"What a minute, this is wrong!","Hey,They put these books in the wrong order!1: What a girl wants2:She's out of control3: With this ring, I'm confusedAnyway, It's a wonderful book, none the less!",0
this album has one use and one use only,"and when i say this i dont mean it to be used as entertainment or for enjoyment. when i first heard chop suey i thought the band would be worth a shot. when i popped in the cd i thought my dad was yelling at me, but it was only the music. the album is nothing like chop suey, only one other song is remotely good #8 i think. i like bands like offspring greenday ect., even rob zombie & limp bizkit. so if u like that kind of music then dont waste your money on this recording of rythmless shouting. and when i say the album has one use, it makes a nice frisbee",0
Disappointed in a favorite a favorite writer,"Mr. Ambrose - who generally writes as readable a history as anyone - fell way short on this one. At the outset, he admits that his publisher recommended this topic to him. I suspect his publisher needed an Ambrose book on the shelves for the summer of 2000 and magde this suggestion in May of the same year. The book was redundant and disorganized and gave the distinct impression of being thrown together like a midnight term paper. This book ought to be skipped.",0
Lasted ONE WEEK,"I expect a lot more from Sony. Christmas to New Years is, what? One week? This Walkman will no longer read any disk. Even with fresh batteries. And if the Walkman WORKED, the difficult to read buttons wouldn't be an issue.",0
"Nice knife, but not a razor","This is a folding knife, not a razor. If you are looking for a folding knife that can be a conversation piece, this is it. A straight edge razor that you can actually shave with costs more than $5.49; a lot more.This knife does not have a liner lock (contrary to what the description says). It has a backspring that holds the blade open, but it does not lock the blade. The backspring does a good job though. This is the reason why this knife is a bit harder to open and close than a liner lock one.Overall, it is a good knife for the price.",1
A Tragedy with Modern Implications,"With many people living much longer than they did in Shakespeare's timeand their children putting them in ratty nursing homeswhere they are usually or even generally treated badlyand given the minimum of nursing care... going theremainly to die, this play has something to say to modern man.We like his daughters too often betray our patents andthey so often mistake our good intentions.Is madness the cost of old age? Are greed andenvy any less despicable in modern children thanthey were in the children of kings?We all live better than the kings of the past in America today,but treat our elderly worse than even the worst impoverished of Shakespeare's time.And we still have homeless mad people ( like Edgar pretends to be)on our streets and back roads. We haven't learned any lessons from our literature.",1
Wrong color came in!,"I should've read the reviews more carefully. I ordered WHITE. The color that came in was CREAM. They call it ""Ivory""... That's like an off-white yellowish color. Other reviewers have stated the same thing about the wrong color coming in.I'm too lazy to return this. There are also no 5-star rated white queen size sheets (under $100) at all on Amazon.com Next time, I'll have to access an old fashioned department store of some type to get the proper sheets. No more ordering sheets online.",0
Couldn't get into this one,"I couldn't get into this one, it was kinda of confusing with all the stuff about the obeah, the only scenes I liked was the ones between Sherry and Jason.",0
Kate Bush CD,I received this product quickly and in good condition. I enjoy most of the songs on the CD and happy with my purchase.,1
"Naruto Uncut Box Set: Season One, Vol. 1",The DvD was transported without incident. It proved playable on our current DvD player and was very entertaining to view.,1
Remastered Sound? Yeah Right...,"Still this is a metal classic. The bonus tracks are weak and the remastering minimal at best.Personally it's difficult for me to listen to Halford sing ""Burnin' Up"" since he came out of the closet. The lyrics make me wince. Hey, but that's just me.",1
DISSAPOINTED,I PURCHASED THIS PRODUCT BRAND NEW FROM AMAZON WITH THE LENS PACKAGE IT CAME WITH. AFTER TAKING ONLY 68 SHOTS IT STOPPED WORKING. I GOT AN F-- ERROR. I REMOVED AND REPLACED THE LENS AND IT STILL DID NOT WORK PROPERLY. THEN I NOTICED THAT THE TOP BORDER WAS BLACK. I HAVE HAD THE PRODUCT FOR ABOUT 2.5 MONTHS SO IT IS STILL UNDER WARRANTY. I FOUND OUT THAT I HAD TO PAY $37 TO SEND IT INSURED BY UPS TO NIKON. I WAS TOTALLY DISAPPOINTED. I WAS SOLD A BAD EXPENSIVE EQUIPMENT FROM THE BEGINNING AND I STILL HAVE TO PAY TO SHIP IT BACK SO THAT THEY WOULD FIX IT. I DECIDED TO TRY NIKON BECAUSE MINOLTA WENT OUT OF BUSINESS. THAT WAS A SAD LOSS FOR THE PHOTO WORLD. I WOULD NEVER BUY ANOTHER NIKON AGAIN.,0
Dense and Not User Friendly,"While it seems heretical to give such a low review to a classic book, I did not find this a good choice for canning/preserving reference. It has plenty of variety, but the material is extremely dense and hard to follow. Recipes are written in block paragraphs instead of steps, with ingredients and amounts in bolded type embedded in the body of the recipe rather than cleanly listed up front. Plenty of information but not user friendly at all.",0
Battery will not hold charge,"I didn't mind it at first. It feels cheap, but it worked ok. Now a few months later, the battery will not hold a charge. I can't even use it plugged in because it's like the battery keeps charging & discharging & it loses connection all the time. It's horrible.",0
Prince of Persia 3 Review,"Bought this as a gift. Was very suprised to find a new copy of this game.Was a little disappointed that it didn't arrive before Christmas, but overall happy with purchase.",1
Vtech put wrong age on it,I love the vsmile system for my four year old. This game though has the wrong age on it. It is more for 6 to 7 year olds.,0
nothing but daytime drama,"I read this preposterous book in high school, got the point of it and identified with the Darl character but got into it emotionally. In fact, I still can't scrape off the impression that it's a fancy angle on daytime drama; the characters, with the exception of Darl, haven't come into relief for me even years after I finished reading the story. The best Faulkner can to with this superficial tale is to obfuscate the plot enough that the readers are forced to pay way more attention to his writing than it merits.",0
Something's Missing,"Add me to the disappointed list. ""True"", by Will-I-Am featuring Fergie, isn't on the CD. I noticed a few more missing from the disc, but ""True"" was the reason I purchased the CD. The two tracks that I do enjoy isn't worth the money I spent on it.",0
First-time Patterson reader,"...so take my review for what it is worth! I picked this one up on a whim, and was disappointed by it. The chapters are insanely short, many of them less than three pages. Sometimes there is a chapter break in the middle of a scene, and the next chapter picks up right where the other one left off! It made it hard for me to focus on the book.The plot was OK at best. As a 14-year veteran of the military, I found most of the military scenes to be unlikely at best. Maybe he had some military personnel giving him info, but it sure seems unlikely to me.Finally, the dialogue seemed forced and fake to me. The best writers make you feel like you are in the world of the book; this novel made me feel like I was reading a novel attempting to present real dialogue. If you are a fan of the series, you will probably like this book. Otherwise, approach it with caution.",0
This is a good book but review Microsoft's exam guidelines!,"This book plus the Transcenders testing software is a good combination to pass. Those two with a little hands-on and you should pass this test. I got an 854 out of 1000 on the test without too much effort. DO read up on ODBC error messages (SQL) as it was heavily tested. This book does not delve into much depth on that subject. Otherwise a good buy, especially used.",1
"Around Auburn, NY","Good historical photos of my home town the way it used to be. Before ""urban renewal"" turned Auburn into a ghost town.",1
NON FITMENT,These were ordered for a 2005 Toyota Corolla and with the weather was finally able to install these. These adapters DO NOT FIT as described.Please be aware that these are universal adapters and not specific to 2005-2008 Toyota Corollas. Waste of good money.... Beware...,0
Holds mail to the wall - after you straighten it out,"My unit arrived severely warped. It was bent on a diagonal, so if you tried laying it on the wall it would lift up about an inch and a half on 2 corners. I muscled it back to ""sort of straight"". Screws flattened the rest of it.Within a week one of the key hooks on the bottom broke off. It's tack welded on and is not very sturdy. Don't try and bend them straight (again, one of them was bent on mine).I'm sure my review might be higher had mine not arrived damaged.",0
Marriage counselor wanted,"Others covered most of my pros and cons.Big Problem. The phone can't be used while charging. It's a big deal, because charges are frequent and looooooooonnnnnnnggggggggg. Lots of downtime with this phone.Pro. I get long periods of quiet-time when the phone isn't working.Second Problem. Browsing and text messaging will happen frequently and accidentally unless you are very, very careful.Pro. I am no longer internet illiterate, and have really enjoyed the strange people I've been text messaging.Third Problem. I bought this phone for my wife, too, and she won't let me forget it.Pro. She can't call me to complain about it.p.s. If someone can figure out how to use this phone while it's charging.. I'll post a correction to this review, and, maybe my wife will start talking to me again.",0
"Too much romance, not enough action","First I must say that I am enjoying the series overrall. I just wish there were more pages of action than romance. I find myself skipping the romance/sex scene because they are uninteresting and redundant. They don't add to or advance the story line. We already know that Damali and Carlos are soul mates, etc. The author spends so much time on the uninteresting, long, drawn out love scenes that by the time the action occurs, it is almost anti-climatic.",0
Second Rate,"This guy has cost a lot of people a lot of money in the stock market. Fortunately I wasn't one of them. And yes it was their fault instead of his. But many are seduced by his methods since the implication is that winnning stocks may be selected by purely mechanical methods. The sections that deal specifically with the internet and how to find information are ok but the infomation is easily available elsewhere. The rest is not really up to par but will probably pass most people's inspection. Please just be skeptical and wise and realize that to take advantage of mechanical stock picking schemes requires a great deal of money or a fund of some kind. Statistically one may make money on the pot but buying a highly rated subset is seldom wise.Also, using a little money to buy the pot almost always results in unacceptable transaction costs.",0
Memory Card,The card was in good condition but it turns out I no longer needed it. The product was in great condition and shipped very fast.,1
Seems expensive,Waiting for chains to arrive. Thought they were expensive compared to other chains. Bought them because it said they would fit my ATV. Disappointed by price but hope to be happy with performance.,0
Sandisk,Great little audio player in its time. I passed it on to my young niece and she loves it. Still works great.,1
Man in the Green Chevy,"Although I have read all the books written by this author, can't say I would personally recommend it. It is not that well written in the mystery interest. I was interested in the setting and wanted to read more to keep the people in mind. Any one with a mind to read modern western, perhaps it will be in their line.",0
Intelligent Choice,"I must agree that the author left out very important Divine Names vital to the book as a whole, yet I believe that he was justified in doing so. Perhaps what the actual manuscript contains is so powerful that it is meant to be hidden. I think this was a very intelligent choice by the author, though I'm sure by doing so many people find the book useless.",1
NOT for the beginner,"I am about half way into this book and it's driving my crazy. Thank god that I already know Photoshop 'cause otherwise I'd be lost. The book is badly organized, making references to tools that aren't introduced until 200 pages later, it lacks illustrations and clear examples and I've found several errors so far. It is repetitive in some ways which makes it boring to read. There has to be a better book out there.",0
I like this movie,"I enjoyed this movie, it's fun to watch I think Bette Midler and Lily Tomlin play well off each other.",1
Hot Stuff!,"Okay, I've been there - that insatiable desire to be thin. Though, it is not quite so insatiable as the desire to have some of that mint ice cream...Jemima (not JJ!) is an inspiration to anyone who ever wanted to get motivated about anything! She doesn't play it off like it is easy, or that she's realy a thin person trapped in a fat body - she is Jemima, through and through, a thoroughly hilarious character that made me laugh out loud. Give it a read!",1
Gopher It Worked for Me,"I purchased the Exhart Gopher-It about one year ago. I must say I was dubious about the potential effectiveness of this technique of sonically repelling small animals. I followed the directions about placement and after about a month we noticed that we no longer have gopher tunnels in our organic vegetable garden of about 1200 sf. Because we are in a tiered garden arrangement we bought two Gopher-It's per 50' long tier, one for each end. This arrangement proved effective as long as I relocated the location about five feet every couple of months. Alkaline battery life is good, lasting about 7-9 months in moderate (never freezing) temperatures. I would recommend this product to a friend and I'm planning on buying some more to get rid of the gophers that have overrun our lawn area;)",1
